SIC	Description
792912	Jugglers & Equipment
594153	Juggling Equipment
829955	Juggling Instruction
581248	Juice Bars
504614	Juice Extractors (Whls)
203303	Juices-Manufacturers
543104	Juices-Retail
571984	Juicing Equipment & Supplies
564116	Junior Apparel
822298	Junior Colleges & Technical Institutes
495326	Junk Removal
593215	Junk-Dealers
921105	Justice Of The Peace
836117	Juvenile Detention Centers
594534	Kaleidoscopes
145598	Kaolin & Ball Clay
792913	Karaoke
581309	Karaoke Clubs
573116	Karaoke Machines & Tapes
573615	Karaoke Machines-Rental Sales & Svc
799944	Karate Judo Jiu-Jitsu & Kung Fu Instr
594125	Karate Judo Jiu-Jitsu & Kung Fu Supls
509149	Karts-Motorized-Distributors (Whls)
379911	Karts-Motorized-Manufacturers
555122	Kayaks
519116	Kennels Equipment & Supplies (Whls)
554105	Kerosene
507521	Kerosene Heaters-Sales & Service (Whls)
344306	Kettles (Mfrs)
999910	Key Control Systems
317201	Key Holders (Mfrs)
769961	Key Makers
553147	Keyless Entry
769958	Keys
342924	Keys-Manufacturers
519973	Keys-Wholesale
809298	Kidney Dialysis Centers
792999	Kids Entertainment
355901	Kilns (Mfrs)
509220	Kilns-Wholesale
821104	Kindergartens
804941	Kinesiotherapy
571928	Kitchen Accessories
502337	Kitchen Accessories-Whls & Mfrs
571211	Kitchen Cabinets & Equipment-Household
503118	Kitchen Cabinets-Wholesale
521172	Kitchen Counters
504629	Kitchen Equipment-Commercial (Whls)
734933	Kitchen Exhaust Systems-Cleaned
507428	Kitchen Fixtures-Wholesale
152117	Kitchen Remodeling & Planning Svc
735981	Kitchen Rentals-Commercial
346913	Kitchen Tools-Manufacturers
571936	Kitchen Tools-Retail
394411	Kites-Manufacturers
594507	Kites-Retail
594171	Kitesurfing
225901	Knit Goods-Contractors (Mfrs)
225904	Knit Goods-Manufacturers
225802	Knit Goods-Processing & Dyeing (Mfrs)
721913	Knit Goods-Repairing
563208	Knit Goods-Retail
239602	Knit Goods-Trimmings (Mfrs)
513118	Knit Goods-Wholesale
225398	Knit Outerwear Mills (Mfrs)
225498	Knit Underwear & Nightwear Mills (Mfrs)
225801	Knitted Fabrics (Mfrs)
829928	Knitting Instruction
508493	Knitting Machines (Whls)
225998	Knitting Mills Nec (Mfrs)
594907	Knitting Supplies
342301	Knives-Machine (Mfrs)
525109	Knobs
549923	Korean Foods
514113	Kosher Food Products-Wholesale
549912	Kosher Foods
267204	Label Finishing (Mfrs)
267205	Label Stock-Adhesive (Mfrs)
738963	Labeling
508474	Labeling Equipment (Whls)
356501	Labeling Equipment-Manufacturers
275910	Labels (Mfrs)
513121	Labels-Fabric (Whls)
267201	Labels-Paper (Mfrs)
511221	Labels-Paper-Wholesale
275912	Labels-Plastic Metal Foil & Etc (Mfrs)
224111	Labels-Woven (Mfrs)
736108	Labor Contractors
863101	Labor Organizations
874204	Labor Relation Consultants
873104	Laboratories
873457	Laboratories Water & Waste Water
873122	Laboratories-Agricultural
873414	Laboratories-Analytical
873124	Laboratories-Biochemical
807107	Laboratories-Biological
807104	Laboratories-Clinical
807201	Laboratories-Dental
873123	Laboratories-Marine Biological
807101	Laboratories-Medical
873424	Laboratories-Metallurgical
873425	Laboratories-Petroleum
283407	Laboratories-Pharmaceutical (Mfrs)
873134	Laboratories-Psychological
873101	Laboratories-Research & Development
873402	Laboratories-Testing
873411	Laboratories-Veterinary
382698	Laboratory Analytical Instruments (Mfrs)
179614	Laboratory Equip & Supplies Installation
504906	Laboratory Equipment & Supplies (Whls)
382101	Laboratory Equipment & Supplies-Mfrs
382103	Laboratory Furniture (Mfrs)
874257	Laboratory Set-Up Consultants
225898	Lace & Warp Knit Fabric Mills (Mfrs)
239507	Lace Cutting (Mfrs)
599975	Laces
224103	Laces-Manufacturers
523114	Lacquers
285102	Lacquers-Manufacturers
804975	Lactation Counseling
508422	Ladders (Whls)
249921	Ladders-Manufacturers
735932	Ladders-Renting
525120	Ladders-Retail
495905	Lake & Beach Cleaning & Improvement
179952	Lake & Pond Construction & Maintenance
873113	Lake Management Services
308398	Laminated Plstcs-Plate Sht/Profile
505124	Laminated Structural Products (Whls)
243503	Laminated Wood (Mfrs)
508486	Laminating Equipment & Supplies (Whls)
308302	Laminating Equipment & Supplies-Mfrs
339902	Laminations-Motor & Transformer (Mfrs)
738965	Laminations-Plastic Paper Etc
516205	Laminations-Plastic Paper Etc-Wholesale
364807	Lamp Bulb Holders (Mfrs)
506385	Lamp Bulbs (Whls)
364101	Lamp Bulbs-Manufacturers
571948	Lamp Shade Covers
571939	Lamp Shade Frames & Supplies
399946	Lamp Shade Machinery (Mfrs)
721707	Lamp Shades-Cleaning & Repairing
502324	Lamp Shades-Wholesale
281603	Lamp-Black (Mfrs)
571927	Lamps & Lamp Shades-Retail
364503	Lamps-Manufacturers
762913	Lamps-Mounting & Repairing
322904	Lamps-Supplies & Parts (Mfrs)
506378	Lamps-Supplies & Parts-Wholesale
502316	Lamps-Wholesale
179407	Land Clearing & Leveling
655201	Land Companies
654104	Land Contracts
871312	Land Development Consultants
078102	Land Planning Services
179401	Landfill Demolition
495303	Landfills-Sanitary
495312	Landfills-Solid Waste
653142	Landlord & Tenant Officers
732204	Landlords Service Bureaus
874883	Landscape Appraising & Consulting
078204	Landscape Contractors
078103	Landscape Designers
078106	Landscape Foresters
173109	Landscape Lighting
078302	Landscape Nurserymen
526106	Landscaping Equipment & Supplies
508325	Landscaping Equipment & Supplies-Whls
078110	Landscaping-Stone
829912	Language Schools
829932	Language Training Aids
571949	Lanterns
391501	Lapidaries (Mfrs)
508521	Lapidary Equipment & Supplies (Whls)
354115	Lapping (Mfrs)
152147	Laser Construction
506397	Laser Cutting (Whls)
384502	Laser Medical (Mfrs)
504513	Laser Printer Supplies Svc-Repair (Whls)
504501	Laser Printers (Whls)
804957	Laser Surgery
809959	Laser Treatments
804967	Laser Vision Correction
874890	Lasers & Electro Optics Consultants
504908	Lasers (Whls)
873125	Lasers-Communication Research & Dev
506383	Lasers-Equipment & Service (Whls)
306921	Latex Liquid (Mfrs)
306903	Latex Products (Mfrs)
354516	Lathe Attachments (Mfrs)
174204	Lathing Contractors
503145	Lath-Mtl Plaster Composition/Etc (Whls)
721101	Laundries
721211	Laundries Pickup & Delivery
721210	Laundries-Drop Off Service
721804	Laundries-Industrial & Commercial
721501	Laundries-Self Service
721999	Laundry & Garment Services Nec
874865	Laundry Consultants
508757	Laundry Equip-Coml-Coin Operated (Whls)
508726	Laundry Equipment (Whls)
762916	Laundry Equipment-Repairing
508728	Laundry Supplies (Whls)
733402	Law & Financial Printers
594203	Law Books
811117	Law Citation Retrieval Service
738118	Law Enforcement Consultants
599923	Law Enforcement Supplies
822103	Law Schools
594737	Lawn & Garden Decorations/Novelties
526101	Lawn & Garden Equip & Supplies-Retail
508313	Lawn & Garden Equipment & Supls-Whls
735903	Lawn & Garden Equipment-Renting
571222	Lawn & Garden Furnishings
352409	Lawn & Garden Outdoor Power Equip (Mfrs)
078222	Lawn & Garden-Water Features-Svc-Repair
078206	Lawn & Grounds Maintenance
078104	Lawn Consultants
508326	Lawn Maintenance Equip Commercial (Whls)
526109	Lawn Mowers
352405	Lawn Mowers-Manufacturers
526107	Lawn Mowers-Parts & Supplies
769957	Lawn Mowers-Sharpening & Repairing
526113	Lawn Mowers-Used
508323	Lawn Mowers-Wholesale
078209	Lawn Spraying
352407	Lawn Sweepers-Manufacturers
352498	Lawn/Grdn Tractors/Home Lawn Eqpt (Mfrs)
738964	Layouts-Office Factory & Etc
505112	Lead (Whls)
339803	Lead Burning (Mfrs)
824923	Lead Paint Detection & Removal Schools
738956	Lead Paint Detection Service
395298	Lead Pencils Crayons/Artists Mtrl (Mfrs)
335601	Lead Products (Mfrs)
179948	Lead Removal & Abatement
335609	Lead Shielding Manufacturers
523123	Leaded Lights & Windows
507422	Leak Detecting Instruments (Whls)
171133	Leak Detecting Service
809960	Learning Disabilities Information Svc
832249	Learning Disability Counseling
735959	Leasing Equipment
735933	Leasing Service
238698	Leather & Sheep-Lined Clothing (Mfrs)
519913	Leather (Whls)
238601	Leather Apparel-Manufacturers
519911	Leather Apparel-Wholesale
769960	Leather Cleaning
561107	Leather Clothing-Retail
311109	Leather Findings & Finishes (Mfrs)
284301	Leather Finishers (Mfrs)
315198	Leather Gloves & Mittens (Mfrs)
519915	Leather Goods & Clothes-Wholesale
317205	Leather Goods Mfrs' Supplies-Mfrs
319998	Leather Goods Nec (Mfrs)
569952	Leather Goods-Custom Made
594803	Leather Goods-Dealers
317202	Leather Goods-Manufacturers
508549	Leather Goods-Manufacturers Supls (Whls)
769959	Leather Goods-Repairing
311106	Leather Goods-Trimmings (Mfrs)
229502	Leather-Artificial (Mfrs)
311104	Leather-Manufacturers
313103	Leather-Scrap (Mfrs)
313104	Leather-Sole (Mfrs)
311198	Leather-Tanning & Finishing (Mfrs)
355914	Leather-Working Machinery (Mfrs)
502132	Lecterns (Whls)
738906	Lecture & Seminar Bureaus
811114	Legal Clinics
511204	Legal Forms (Whls)
276105	Legal Forms-Manufacturers
733613	Legal Graphics
811118	Legal Marketing
811115	Legal Research
811113	Legal Service Plans
811198	Legal Services
874839	Legislative Analysts & Consultants
912109	Legislative Assemblies
865102	Legislative Research
594169	Leisure & Sports Equipment Management
382702	Lenses-Manufacturers
504809	Lenses-Wholesale
651798	Lessors Of Railroad Property
651999	Lessors Of Real Property Nec
733108	Letter Shop Service
733812	Letter Writing Service
279602	Lettering Machines (Mfrs)
602104	Letters Of Credit
399304	Letters-Sign-Manufacturers
504911	Levels (Whls)
823107	Libraries-Circulating & Rental
823109	Libraries-Institutional
823106	Libraries-Public
874240	Library Consultants
502109	Library Equipment & Supplies (Whls)
823105	Library Networks
823108	Library Research & Service
874231	Library Support Services
346914	License Plate Frames-Manufacturers
501350	License Plate Frames-Wholesale
738911	License Services
206402	Licorice (Mfrs)
504912	Lie Detectors (Whls)
811116	Lien Processing Service
805913	Life Care Communities
631198	Life Insurance (Underwriters)
555115	Life Preservers
306922	Life Preservers-Manufacturers
555118	Life Raft Inflation Equipment
306923	Life Rafts & Floats-Manufacturers
555130	Lift Raft Inflation Equipment
171163	Lift Station Maintenance & Repair
508403	Lifts (Whls)
179987	Lifts-Manned
506318	Light Bulbs & Tubes (Whls)
506390	Light Curtains (Whls)
449106	Lighterage
449914	Lighthouses
571979	Lighting
874801	Lighting Consultants
871146	Lighting Engineers
364898	Lighting Equipment Nec (Mfrs)
506320	Lighting Equipment-Emergency (Whls)
364501	Lighting Equipment-Manufacturers
364504	Lighting Fixtures-Manufacturers
762915	Lighting Fixtures-Repairing & Mntnc
571926	Lighting Fixtures-Retail
364102	Lighting Fixtures-Supplies & Parts-Mfrs
593239	Lighting Fixtures-Used
506319	Lighting Fixtures-Wholesale
367404	Lighting Laser (Mfrs)
506368	Lighting Systems & Equipment (Whls)
762918	Lighting-Maintenance Service
504656	Lighting-Marquee & Display (Whls)
506350	Lighting-Plants (Whls)
173104	Lightning Protection Equipment
364302	Lightning Protection Equipment-Mfrs
506322	Lightning-Protection Equipment (Whls)
731205	Lights-Advertising
071103	Lime & Fertilizer Spreaders
503222	Lime & Limestone-Wholesale
421233	Lime Hauling
327498	Lime-Manufacturers
142201	Limestone
411903	Limousine Service
753215	Limousine-Conversions
551106	Limousine-Dealers
506391	Linemens Equipment & Supplies (Whls)
721305	Linen Rental
721302	Linen Supply Service
226904	Linens-Manufacturers
513145	Linens-Piece Goods (Whls)
571925	Linens-Retail
502315	Linens-Wholesale
563210	Lingerie
234101	Lingerie-Manufacturers
513719	Lingerie-Wholesale
516213	Linings-Bag Barrel & Etc (Whls)
239603	Linings-Clothing (Mfrs)
516212	Linings-Container (Whls)
222107	Linings-Drapery (Mfrs)
308108	Linings-Pits Ponds Lagoons Etc (Mfrs)
179949	Linings-Plastic Membrane & Etc
175204	Linoleum Layers
175202	Linoleum Layers Equipment & Supplies
399699	Linoleum/Hard Surface Flr Cvrs Nec (Mfr)
399698	Linoleum-Asphalt Felt Base Flr Cvr (Mfr)
571301	Linoleum-Dealers
502318	Linoleum-Wholesale
821112	Lip Reading Instruction
495316	Liquid Waste Removal
738958	Liquidators
622101	Liquor Brokers
504635	Liquor Control Systems (Whls)
507806	Liquor Dispensing Equip-Sales/Svc (Whls)
592102	Liquors-Retail
518201	Liquors-Wholesale
738968	Literary Agents
279605	Lithographers (Mfrs)
508539	Lithographers Equipment & Supls (Whls)
279604	Lithographic Negatives & Plates (Mfrs)
738116	Litigation Support Service
515405	Livestock Appraisers (Whls)
515402	Livestock Auction Markets (Whls)
075102	Livestock Breeders
029104	Livestock Brokers
515401	Livestock Buyers (Whls)
075227	Livestock Care Services
515404	Livestock Commission (Whls)
874841	Livestock Consultants
519119	Livestock Equipment & Supplies (Whls)
352319	Livestock Equipment & Supplies-Mfrs
204804	Livestock Feed (Mfrs)
021101	Livestock Feeding
075105	Livestock Grooming
421203	Livestock Hauling
021201	Livestock Producers
869902	Livestock Recording Associations
075198	Livestock Services-Except Veterinary
515408	Livestock Shows & Sales (Whls)
873437	Livestock Testing
515403	Livestock-Dealers (Whls)
075217	Livestock-Embryo Transfer
027906	Llamas
173121	Load Controllers
508810	Loading Dock Equipment (Whls)
353701	Loading Dock Equipment-Manufacturers
616301	Loan Brokerage
614101	Loans
615901	Loans-Agricultural
614107	Loans-Alternative
614104	Loans-Automobile
614108	Loans-Personal
874301	Lobbyists
349623	Lobster Traps & Equipment (Mfrs)
542105	Lobsters
414198	Local Bus Charter Service
411999	Local Passenger Transportation Nec
421498	Local Trucking With Storage
738214	Lock Boxes
422201	Locker Plants
729915	Lockers
254210	Lockers-Manufacturers
504624	Lockers-Wholesale
769962	Locks & Locksmiths
507216	Locks & Locksmiths-Wholesale
342923	Locks-Mfrs-Except Safe Vault Coin
507209	Locksmith Equipment & Supplies (Whls)
374306	Locomotive Rebuilding (Mfrs)
374303	Locomotives (Mfrs)
509935	Log Brokers (Whls)
503149	Log Buyers (Whls)
245201	Log Cabins Homes & Buildings (Mfrs)
571244	Log Furniture
421202	Log Hauling
241103	Log Scalers (Mfrs)
245205	Log Siding (Mfrs)
508207	Log Splitting Equipment (Whls)
241198	Logging (Mfrs)
241102	Logging Companies (Mfrs)
353112	Logging Equipment Manufacturers
874266	Logistics
733614	Logos
481306	Long Distance Telephone Service
805917	Long Term Care Facility
278201	Loose Leaf Equipment Systs & Supls-Mfrs
641117	Loss Prevention Consultants
734925	Lot Cleaners
799943	Lottery Agents
365102	Loud Speakers-Manufacturers
503103	Louvers (Whls)
344205	Louvers-Manufacturers
549940	Low Carb Foods & Programs
599501	Low Vision Aids
173128	Low Voltage Systems Contractors
581201	Luaus
517211	Lubricants (Whls)
516974	Lubricants-Dry (Whls)
299202	Lubricants-Manufacturers
516951	Lubricants-Synthetic (Whls)
517219	Lubricating Compounds (Whls)
356906	Lubricating Devices & Systems (Mfrs)
501375	Lubricating Equipment (Whls)
299298	Lubricating Oils & Greases (Mfrs)
754906	Lubricating Service-Mobile
316104	Luggage (Mfrs)
594808	Luggage Carriers
508770	Luggage-Manufacturers Equip/Supls (Whls)
594802	Luggage-Repairing
594801	Luggage-Retail
509906	Luggage-Wholesale
364305	Lugs & Terminals-Electrical (Mfrs)
503150	Lumber Brokers (Whls)
421204	Lumber Carriers
503123	Lumber Mill Representatives (Whls)
242108	Lumber Sawing Portable (Mfrs)
422613	Lumber Terminals
628905	Lumber-Commission
503125	Lumber-Drying (Whls)
503101	Lumber-Exporters & Importers (Whls)
861109	Lumber-Inspectors
242101	Lumber-Manufacturers
521142	Lumber-Retail
249101	Lumber-Treating (Mfrs)
593214	Lumber-Used
503109	Lumber-Wholesale
399309	Luminous Products (Mfrs)
804983	Lymphedema Therapy
017301	Macadamia Nuts
209801	Macaroni (Mfrs)
209898	Macaroni Spaghetti & Noodles (Mfrs)
177114	Machine Foundations
359908	Machine Shop Equipment (Mfrs)
508434	Machine Shop Supplies (Whls)
359903	Machine Shops (Mfrs)
873413	Machine Shops-Experimental
508425	Machine Tools (Whls)
871167	Machine Tools-Designers & Consultants
354107	Machine Tools-Manufacturers
508469	Machine Tools-Repairing/Rebldg (Whls)
346909	Machinery Parts & Supplies (Mfrs)
769989	Machinery-Cleaning
871141	Machinery-Designing
353101	Machinery-Manufacturers
179604	Machinery-Movers & Erectors
353702	Machinery-Moving Equipment-Manufacturers
508427	Machinery-New (Whls)
508471	Machinery-Rebuilding & Repairing (Whls)
735303	Machinery-Renting
355306	Machinery-Sawmill (Mfrs)
359905	Machinery-Specially Designed & Built
508524	Machinery-Used (Whls)
753828	Machinists-Automotive
594906	Macrame Supplies
229907	Macrame-Manufacturers
519206	Magazines-Back Number (Whls)
599402	Magazines-Dealers
519201	Magazines-Distributors (Whls)
596303	Magazines-Subscription Agents
593213	Magazines-Used & Rare
792904	Magicians
594506	Magicians Supplies
399973	Magicians Supplies-Manufacturers
516961	Magnesite (Whls)
349702	Magnesium & Magnesium Products (Mfrs)
349921	Magnet Mfrs
357706	Magnetic Ink Incoding (Mfrs)
369598	Magnetic/Optical Recording Media (Mfrs)
501323	Magnetos (Whls)
509916	Magnets & Magnetic Devices (Whls)
509955	Magnets-Retail (Whls)
382701	Magnifying Glasses (Mfrs)
734923	Maid & Butler Service
736121	Maids & Butlers Svc-Referral & Info Svc
507217	Mail Boxes (Whls)
346905	Mail Boxes-Manufacturers
729982	Mail Boxes-Retail
738971	Mail Box-Rentals
344401	Mail Chutes (Mfrs)
596103	Mail Order Fulfillment Service
596105	Mail Order-Food
729918	Mail Receiving Service
733102	Mail Sorting Service
733101	Mailing & Shipping Services
265502	Mailing Containers (Mfrs)
733104	Mailing Lists
504415	Mailing Machines & Equipment (Whls)
357907	Mailing Machines & Equipment-Mfrs
154227	Maintenance Contractors
078220	Maintenance Programs
569953	Majorette Supplies
723108	Make-Up Studios
284402	Make-Up-Masquerade & Theatrical-Mfrs
599998	Make-Up-Masquerade & Theatrical-Retail
512216	Make-Up-Masquerade & Theatrical-Whls
208398	Malt (Mfrs)
208298	Malt Beverages (Mfrs)
514915	Malts & Hops (Whls)
874103	Management Accounting
672298	Management Investment Open-End
874249	Management Research
874130	Management Services
829911	Management Training
332103	Manhole Covers (Mfrs)
508767	Manicure Equipment & Supplies (Whls)
399923	Manicure Implements-Manufacturers
723102	Manicuring
276104	Manifold Business Forms (Mfrs)
753302	Manifolds
282401	Manmade Organic Fbrs-Ex Cellulosic
504615	Mannequins-Display Fixture (Whls)
174303	Mantels
653146	Manufactured Housing Brokers
503934	Manufactured Housing Eqp/Parts Whls/Mfr
653128	Manufactured Mobile Homes Appraisers
399903	Manufacturers
359915	Manufacturers Distrs & Indl Products
509908	Manufacturers-Agents & Representatives
355905	Manufacturers-Aquatic Weed Harvester
285104	Manufacturers-Coatings
352406	Manufacturers-Snow Removal Equipment
379902	Manufacturers-Snowmobiles
379901	Manufacturers-Trailers
343202	Manufacturers-Watering Systems
344321	Manufacturing Containers-Steel
353201	Manufacturing-Augers & Trenchers
308923	Manufacturing-Layered Processes (Mfrs)
071109	Manure Application
508335	Manure Handling Equip & Systems (Whls)
071107	Manure Pumping
733807	Manuscript Editing
733811	Manuscript Service
083101	Maple Sugar & Syrup
514948	Maple Sugar & Syrup-Wholesale
508544	Maple Sugar-Manufacturers Supls (Whls)
511229	Mapping Services (Whls)
594308	Maps-Dealers
769964	Maps-Mounting
511219	Maps-Publishers & Distrs (Whls)
174302	Marble & Terrazzo-Cleaning & Service
174106	Marble Contractors
328110	Marble Contractors Equip & Supls (Mfrs)
328102	Marble Products-Natural-Manufacturers
174305	Marble Vanity Tops
503201	Marble-Cultured (Whls)
521155	Marble-Cultured-Retail
503202	Marble-Natural (Whls)
521127	Marble-Natural-Retail
394413	Marbles-Playing & Etc (Mfrs)
503203	Marble-Synthetic (Whls)
569955	Marching Units Instruction & Accessories
207901	Margarine (Mfrs)
792232	Mariachis
449306	Marinas
449108	Marine Cargo Handling
874843	Marine Consultants
162903	Marine Contractors & Designers
561117	Marine Corps Gear
449913	Marine Documentation
762917	Marine Electric Service
508812	Marine Electronic Equip & Supls (Whls)
573122	Marine Electronic Equip & Supls-Retail
762944	Marine Electronic Equip-Repairing & Svc
555127	Marine Electronics
366303	Marine Electronics Mfrs
769991	Marine Engines-Repairing
555113	Marine Equipment & Supplies
373204	Marine Equipment & Supplies-Mfrs
555110	Marine Equipment & Supplies-Repairing
508811	Marine Equipment & Supplies-Wholesale
555121	Marine Equipment-Used & Rebuilt
381204	Marine Instruments-Manufacturers
489902	Marine Operators
358512	Marine Refrigeration & Air Cond-Mfrs
507818	Marine Refrigeration/Ac-Sales/Svc (Whls)
449305	Marine Repairs
874225	Marine Resource Consultants
554106	Marine Service Stations
448904	Marine Transportation Consultants
449203	Marine Vessel Management
449908	Marine Ways
481208	Marine-Radio Telephone Service
399971	Marionettes & Puppets (Mfrs)
873204	Market Research & Analysis
874214	Marketing Consultants
874213	Marketing Programs & Services
514109	Markets & Grocers Equip & Supls (Whls)
541106	Markets-Kosher
395303	Marking Devices (Mfrs)
354904	Marking Service-Metal Rubber-Etc (Mfrs)
832215	Marriage & Family Counselors
729976	Marriage Brokers
501221	Marsh Buggies (Whls)
799945	Martial Arts Instruction
594124	Martial Arts Supplies & Equipment
238905	Masks-Masquerade & Novelty (Mfrs)
384219	Masks-Protective (Mfrs)
508209	Mason Contractors Equip & Supls (Whls)
354603	Mason Contractors Equipment & Supls-Mfrs
569956	Masonic Outfitters
174101	Masonry Contractors
174112	Masonry Panels-Prefabricated
521154	Masonry Supplies
729963	Massage
504718	Massage Equipment & Supplies (Whls)
829914	Massage Schools
729917	Massage Therapists
249913	Masts & Spars (Mfrs)
399904	Matches (Mfrs)
519975	Matches-Wholesale
473123	Material Handling Eqpt-Certification Bur
508426	Material Handling Equipment (Whls)
769976	Material Handling Equipment-Svc & Repair
874866	Material Handling Systems Consultants
562103	Maternity Apparel
234204	Maternity Apparel-Manufacturers
513737	Maternity Apparel-Wholesale
806903	Maternity Services
562108	Maternity Supports
502327	Mats & Matting (Whls)
306908	Mats & Matting-Manufacturers
721807	Mats & Matting-Renting
571312	Mats & Matting-Retail
571961	Mattress & Comforter Covers
508554	Mattress Makers Supplies (Whls)
251505	Mattress Makers Supplies-Manufacturers
571237	Mattress Pads & Covers
571220	Mattresses
251598	Mattresses/Foundations/Conv Beds (Mfrs)
251501	Mattresses-Manufacturers
769937	Mattresses-Renovating
502111	Mattresses-Wholesale
599991	Mausoleums
514933	Mayonnaise & Salad Dressings (Whls)
203503	Mayonnaise & Salad Dressings-Mfrs
581253	Meal Preparation Services
382402	Measures-Dry Liquid Etc (Mfrs)
358698	Measuring & Dispensing Pumps (Mfrs)
382318	Measuring Analyzing & Controlling Instrs
354501	Measuring Machines (Mfrs)
382914	Measuring Tapes & Rules (Mfrs)
382998	Measuring/Controlling Devices Nec (Mfrs)
514703	Meat Brokers (Whls)
355601	Meat Choppers & Grinders (Mfrs)
201304	Meat Curing Service (Mfrs)
542104	Meat Cutting Service
514702	Meat Jobbers (Whls)
422204	Meat Lockers
542111	Meat Markets-Kosher
201101	Meat Packers (Mfrs)
508302	Meat Packers Equipment & Supplies (Whls)
504639	Meat Patty Molding Machines (Whls)
504640	Meat Processing Equipment (Whls)
201104	Meat Products (Mfrs)
355602	Meat Saws (Mfrs)
549931	Meat Tenderizing Preparations
542107	Meat-Retail
514203	Meats-Frozen (Whls)
514704	Meat-Wholesale
171114	Mechanical Contractors
353703	Mechanical Handling Equipment Mfrs
356898	Mechanical Power Trans Equip Nec (Mfrs)
809910	Mechanotherapists Dm
391104	Medals-Designers & Manufacturers
731304	Media Brokers
731913	Media Buying Service
874856	Media Consultants
731924	Media Monitoring
809913	Medical & Surgical Svc Organizations
504711	Medical Alarms (Whls)
809965	Medical Alert Systems
874101	Medical Business Administration
806201	Medical Centers
384112	Medical Cleaning Equipment
421506	Medical Courier Svc
804929	Medical Diagnostic Equipment-Mobile
504731	Medical Electronics (Whls)
809948	Medical Emergency Training
179615	Medical Equip-Installation
735206	Medical Equipment-Rentals
769963	Medical Equipment-Repairing
809915	Medical Examinations-Insurance
809939	Medical Examiners
799110	Medical Fitness Centers
331704	Medical Gas Piping Systs-Install (Mfrs)
809911	Medical Groups
504720	Medical Imaging Equip & Systems (Whls)
809912	Medical Information Services
632401	Medical Insurance Plans
874872	Medical Legal Consultants
874842	Medical Management Consultants
839911	Medical Management Service
512227	Medical Marijuana
632406	Medical Provider Consultants
738969	Medical Records Service
873304	Medical Research
809951	Medical Services-Mobile
736305	Medical Services-Temporary
573416	Medical Software
804974	Medical Spas
736309	Medical Staff Relief
822112	Medical Technology Schools
733809	Medical Transcription Service
411912	Medical Transportation
283414	Medications Wholesale & Mfrs
283398	Medicinal Chem/Botanical Prods (Mfrs)
521141	Medicine Cabinets
509926	Medicine Cabinets-Distributors (Whls)
251403	Medicine Cabinets-Manufacturers
591201	Medicines-Patent & Proprietary
283406	Medicines-Patent-Manufacturers
869910	Meditation Instruction
866123	Meditation Organizations
874879	Meeting & Conference Consultants
573612	Megaphones
344320	Melting Pots (Mfrs)
869999	Membership Organizations Nec
799798	Membership Sports & Recreation Clubs
593242	Memorabilia
174113	Memorial Restoration & Preservation
839925	Memorial Societies
573413	Memory Systems & Components
829966	Memory Training Improvements
232998	Mens & Boys Clothing Nec (Mfrs)
231198	Mens & Boys Suits Coats/Overcoats (Mfrs)
232298	Mens & Boys Underwear & Nightwear (Mfrs)
232603	Mens & Boys Work Clothing (Mfrs)
561101	Men'S Clothing & Furnishings-Retail
232901	Men'S Clothing-Manufacturers
314398	Men'S Footwear-Except Athletic (Mfrs)
724103	Men'S Hairstyling
864113	Men'S Organization & Services
809305	Mental Health Clinics
832227	Mental Health Counselors
806301	Mental Health Services
832209	Mentoring
275927	Menu Covers (Mfrs)
275917	Menu Printers (Mfrs)
275206	Menu Service (Mfrs)
732306	Mercantile Agencies
738995	Merchandise Brokers
531109	Merchandise Marts
738982	Merchandising Service
283301	Mercury (Mfrs)
628207	Mergers & Acquisitions
804987	Mesotherapy Treatment
738970	Messenger Service
509327	Metal Buyers (Whls)
341198	Metal Cans (Mfrs)
174208	Metal Ceilings
347121	Metal Cleaning
999916	Metal Cleaning Equipment
349913	Metal Coatings (Mfrs)
738972	Metal Cutting
332506	Metal Cutting Coolant Systems (Mfrs)
344298	Metal Doors Sash Frames & Trim (Mfrs)
505127	Metal Extrusions-Impact (Whls)
179104	Metal Fabricators
346920	Metal Findings (Mfrs)
347102	Metal Finishers (Mfrs)
347109	Metal Finishers-Blasting (Mfrs)
505122	Metal Finishers-Equipment & Supls (Whls)
354207	Metal Forming Machinery (Mfrs)
349903	Metal Goods-Manufacturers
344901	Metal Lath (Mfrs)
505116	Metal Letters (Whls)
573114	Metal Locating Equipment
108101	Metal Mining Services
336908	Metal Molder (Mfrs)
505125	Metal Ornaments (Whls)
344313	Metal Plating (Mfrs)
347104	Metal Polishing (Mfrs)
505126	Metal Powders (Whls)
176117	Metal Roofing Contractors
335101	Metal Shapes-Extruded (Mfrs)
354703	Metal Shaping (Mfrs)
341298	Metal Shpng Barrels Drum Keg/Pail (Mfrs)
505113	Metal Specialties (Whls)
346902	Metal Spinning (Mfrs)
354116	Metal Spinning Equipment (Mfrs)
999918	Metal Spraying
356302	Metal Spraying Equipment (Mfrs)
346904	Metal Stamping (Mfrs)
354111	Metal Stamping Equipment (Mfrs)
346998	Metal Stampings Nec (Mfrs)
354902	Metal Treating (Mfrs)
508585	Metal Working Machinery (Whls)
355923	Metal-Disintegrating (Mfrs)
505111	Metal-Distributors (Whls)
251498	Metal-Household Furniture (Mfrs)
229503	Metallic Fabrics (Mfrs)
285110	Metallic Finishes (Mfrs)
