SIC	Description
503935	Athletic Field Construction Mtrls/Spls
869905	Athletic Organizations
504437	Atm Sales & Service (Whls)
806304	Attention Deficit Disorder Services
152124	Attic & Basement Finishing
811102	Attorney Referral Service
862102	Attorney-Bar Associations
811103	Attorneys
811101	Attorneys Service Bureaus
738901	Auctioneers
365105	Audio Manufacturers
804912	Audiologists
804940	Audiology Information & Referral Service
508818	Audiometers (Whls)
809931	Audiometric Testing
804982	Audioprosthologists
781908	Audio-Visual Consultants
781201	Audio-Visual Creative Services
504301	Audio-Visual Equipment & Supls (Whls)
365117	Audio-Visual Equipment Manufacturers
573113	Audio-Visual Equipment-Dealers
735904	Audio-Visual Equipment-Renting & Leasing
762204	Audio-Visual Equipment-Repairing
781203	Audio-Visual Production Service
799904	Auditoriums
872118	Auditors
481311	Augmentative & Assistance Communications
832205	Autism Counseling & Treatment
832285	Autism Information & Referral Svc
508773	Auto Inspection Sta Equip/Supls (Whls)
501339	Auto Machine Shop Equip/Supls (Whls)
239901	Auto Seatcovers Etc-Material/Eqpt-Mfrs
753826	Auto Warranty Repair Svc
753820	Autoclaves
599945	Autograph Dealers
599976	Autographic Registers & Supplies
602103	Automated Teller Machines
382298	Automatic Contrls-Residential/Coml (Mfrs)
384505	Automatic External Defibrillator Inf-Svc
874819	Automation Consultants
356907	Automation Systems & Equipment-Mfrs
504430	Automation Systems & Equipment-Wholesale
737414	Automation Technology Services
501208	Automobile & Truck Brokers (Whls)
553129	Automobile Accessories
553106	Automobile Air Conditioning Equipment
553107	Automobile Alarms
754919	Automobile Appearance & Protection
738916	Automobile Appraisers
501204	Automobile Auctions (Whls)
501368	Automobile Bodies-Commercial (Whls)
501309	Automobile Body Shop Equip/Supls (Whls)
355904	Automobile Body Shop Equipment-Mfrs
371103	Automobile Body-Manufacturers
753201	Automobile Body-Repairing & Painting
553108	Automobile Bumpers Guards & Grills
371416	Automobile Bumpers Guards & Grills-Mfrs
869912	Automobile Clubs
753933	Automobile Clutch Rebuilding
753951	Automobile Computer Equipment & Repair
553135	Automobile Covers
509324	Automobile Crushing Service (Whls)
753203	Automobile Customizing
552103	Automobile Dealers Performance & Race
551111	Automobile Dealers-Electric Cars
551102	Automobile Dealers-New Cars
551103	Automobile Dealers-Used Cars
